"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YTC9RBXJ","conferencePaper","2012","Li, Liyi; Tan, Guangjun; Liu, Jiaxi; Kou, Baoquan","Sensorless control of PMSM based on state observer and the parameter error analysis","2012 IEEE International Conference on Power Electronics, Drives and Energy Systems (PEDES)","978-1-4673-4506-4 978-1-4673-4508-8","","10.1109/PEDES.2012.6484255","https://ieeexplore.ieee.org/document/6484255/","As state observer has the advantages of simple structure and low noise, this paper proposes a sensorless control method based on the state observer for the permanent magnet synchronous motor (PMSM) and analyzes the impact of the parameter errors. The state observer is ﬁrstly designed for the PMSM, and the frequency pre-warping bilinear transform method is adopted simultaneously in the discretization of the state observer. Then, the observation errors are analyzed when the stator resistance error or inductance error exists. Finally, Simulation results are presented, and verify the effectiveness of the paper’s design and analysis.","2012-12","2026-09-09 21:35:46","2026-09-09 21:35:47","2026-09-09 21:35:46","1-8","","","","","","","","","","","IEEE","Bengaluru, India","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\FKEI3L67\Li et al. - 2012 - Sensorless control of PMSM based on state observer and the parameter error analysis.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012 IEEE International Conference on Power Electronics, Drives and Energy Systems (PEDES)","","","","","","","","","","","","","","",""
"2J3PQ4GY","conferencePaper","2009","Gu, Shan-Mao; He, Feng-You; Zhang, Hui","Study on Extend Kalman Filter at Low Speed in Sensorless PMSM Drives","2009 International Conference on Electronic Computer Technology","978-0-7695-3559-3","","10.1109/ICECT.2009.17","https://ieeexplore.ieee.org/document/4795973/","The application of an Extended Kalman Filter(EKF) as nonlinear speed and position observer in PMSM drives has been a mature research project. However, one significant problem still unsolved is the weakly performance at low speed of PMSM drive system that yield to the best estimation performance on high speed range(>5Hz). This paper proposes a novel method － Adjustable DC bus voltage, for low speed EKF sensorless control of permanent magnet synchronous motor (PMSM)drives. The findings from the experiment that the better performance at low speed (>2Hz) by adjusting the DC Bus voltage according to the system reference speed are also presented. Simulation and Experimental results are given to confirm the effectiveness of the proposed method.","2009-02","2026-09-09 21:35:51","2026-09-09 21:35:53","2026-09-09 21:35:51","311-316","","","","","","","","","","","IEEE","Macau","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\ZRDDV3YV\Gu et al. - 2009 - Study on Extend Kalman Filter at Low Speed in Sensorless PMSM Drives.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009 International Conference on Electronic Computer Technology. ICECT 2009","","","","","","","","","","","","","","",""
"UGEAJ8K9","conferencePaper","2008","Vaclavek, Pavel; Blaha, Petr","Synchronous machine drive observability analysis and sensorless control design","2008 IEEE 2nd International Power and Energy Conference","978-1-4244-2404-7","","10.1109/PECON.2008.4762482","http://ieeexplore.ieee.org/document/4762482/","Permanent magnet synchronous (PMSM) drives become very popular in many industrial applications. Their construction provides better performance and reliability than DC drives. But there is also one signiﬁcant disadvantage - actual rotor position knowledge is necessary to control the drive even in the case when only speed control is required. A position sensor has to be used increasing the drive cost. Algorithms for rotor position and speed estimation from electrical quantities have been developed by many authors. This paper presents PMSM observability analysis to be able to deﬁne conditions under which it is possible to compute rotor speed and position. Following the observability analysis results a simple PMSM rotor position estimation algorithm is proposed using a MRAS concept.","2008-12","2026-09-09 21:35:57","2026-09-09 21:35:58","2026-09-09 21:35:57","265-270","","","","","","","","","","","IEEE","Johor Bahru, Malaysia","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\AXWHQDIG\Vaclavek y Blaha - 2008 - Synchronous machine drive observability analysis and sensorless control design.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2008 IEEE 2nd International Power and Energy Conference (PECon)","","","","","","","","","","","","","","",""
"ZEJEKV9F","journalArticle","2013","Vaclavek, Pavel; Blaha, Petr; Herman, Ivo","AC Drive Observability Analysis","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2012.2203775","http://ieeexplore.ieee.org/document/6213546/","AC induction motors and permanent magnet synchronous drives became very popular for motion control applications due to their simple and reliable construction. Sensorless drive control is required in many applications to reduce drive production costs. While many approaches to magnetic ﬂux, rotor speed, or other quantities needed to control electrical machine were proposed, conditions under which these quantities can be estimated are not often sufﬁciently investigated. In this paper, induction machine and permanent-magnet-synchronous-machine drive state observability analysis is presented, together with conditions allowing reliable rotor speed and position estimation. A method based on the nonlinear dynamical system state observability theory is proposed, resulting in a uniﬁed approach to the ac drive observability analysis.","2013-08","2026-09-09 21:36:03","2026-09-09 21:36:04","2026-09-09 21:36:03","3047-3059","","8","60","","IEEE Trans. Ind. Electron.","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\JUGSNQND\Vaclavek et al. - 2013 - AC Drive Observability Analysis.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27DUUHK6","conferencePaper","2016","Than, Hoang; Kung, Ying-Shieh; Huang, Liang-Chiao","Digital hardware implementation of a sensorless speed controller for PMSM drives using HF signal injection and EKF","2016 International Conference on Advanced Materials for Science and Engineering (ICAMSE)","978-1-5090-3869-5","","10.1109/ICAMSE.2016.7840277","http://ieeexplore.ieee.org/document/7840277/","Among the sensorless PMSM speed control algorithms, the non-model based approach, such as high frequency (HF) signal injection (HFSI), is usually taken as to estimate the rotor position of PMSM at standstill and very low speed condition, but the model based approach, such as extended Kalman filter (EKF) is suitable to the low/medium/high speed condition for PMSM drive. Therefore, to obtain a wide-speed range control from a low speed to a medium/high speed region, combining the aforementioned two approaches - HF signal injection and EKF in sensorless PMSM drive is necessary. In this paper, firstly, the mathematical modeling of PMSM and the rotor estimation algorithms of HFSI and EKF are derived. Secondly, a very high speed IC hardware description language (VHDL) is presented to describe the behavior of the adopted estimation algorithm. Thirdly, to verify the correctness of the designed VHDL code of the adopted estimation algorithm, based on electronic design automation (EDA) simulator link, a co-simulation work is constructed by Simulink and ModelSim which the input stimuli and output responses are run in Simulink and the estimation approach and controller are performed in ModelSim. Finally, some simulation results validate the effectiveness of the proposed sensorless PMSM speed control system.","2016-11","2026-09-09 21:36:08","2026-09-09 21:36:10","2026-09-09 21:36:08","192-195","","","","","","","","","","","IEEE","Tainan, Taiwan","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\EDPYWMEI\Than et al. - 2016 - Digital hardware implementation of a sensorless speed controller for PMSM drives using HF signal inj.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 International Conference on Advanced Materials for Science and Engineering (ICAMSE)","","","","","","","","","","","","","","",""
"4QGG7YRS","journalArticle","2016","Ghaouti, Laaredj","Sensorless field oriented control of PMSM based on the extended KALMAN filter observer","PRZEGLĄD ELEKTROTECHNICZNY","","0033-2097","10.15199/48.2016.12.64","http://sigma-not.pl/publikacja-102648-2016-12.html","","2016-12-05","2026-09-09 21:36:14","2026-09-09 21:36:15","2026-09-09 21:36:14","251-256","","12","1","","ELECTROTECHNICAL  REVIEW","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\YWYP8CTY\Ghaouti - 2016 - Sensorless field oriented control of PMSM based on the extended KALMAN filter observer.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77X2K2YC","journalArticle","","García, Cristián","Unidad 2: Accionamientos no Controlados - Accionamientos Eléctricos","","","","","","","","2026-09-09 21:36:18","2026-09-09 21:36:18","","","","","","","","","","","","","","","es","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\5QZ8WAMZ\García - Unidad 2 Accionamientos no Controlados - Accionamientos Eléctricos.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H954JRFL","journalArticle","","García, Cristián","Unidad 3: Introducción al Control Realimentado - Accionamientos Eléctricos","","","","","","","","2026-09-09 21:36:22","2026-09-09 21:36:23","","","","2","","","","","","","","","","","es","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\UN8CAWXZ\García - Unidad 3 Introducción al Control Realimentado - Accionamientos Eléctricos.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J6YT3EPP","journalArticle","","García, Cristián","Unidad 4: Control de Accionamientos en Lazo Abierto - Accionamientos Eléctricos","","","","","","","","2026-09-09 21:36:26","2026-09-09 21:36:26","","","","2","","","","","","","","","","","es","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\KZCBBG53\García - Unidad 4 Control de Accionamientos en Lazo Abierto - Accionamientos Eléctricos.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75DBZ49D","journalArticle","2026","Wang, Hangjie; Sun, Wei; Jin, Tong; Li, Dawei; Qu, Ronghai","Parameter Robustness Improvement of Hybrid Flux Observer for Low-Speed Sensorless Drive of PMSM","IEEE Transactions on Power Electronics","","0885-8993, 1941-0107","10.1109/TPEL.2025.3635045","https://ieeexplore.ieee.org/document/11261855/","This letter proposes an improved hybrid flux observer (HFO) for sensorless control scheme of permanent magnet synchronous motor (PMSM). The proposed method is robust against stator resistance mismatch, which is the primary factor affecting the performance of the observer at low speed. An compensation angle has been added to the correction part of the current model and voltage model in HFO, in order to reduce errors in the q-axis direction introduced by stator resistance mismatch. The proposed method modifies the characteristic matrix of the observer, resulting in a larger stable operating speed range and better load-carrying capability. Stability proof and parameter tuning method based on small-signal method is also provided. With only one parameter requiring design, the proposed sensorless scheme is simple to implement. The effectiveness of this method is verified by experiments on a 1.0-kW SPMSM (Surface PMSM) drive platform and a 5.2-kW IPMSM (Interior PMSM) drive platform, demonstrating its good generality.","2026-04","2026-09-09 21:36:36","2026-09-09 21:36:38","2026-09-09 21:36:36","4541-4545","","4","41","","IEEE Trans. Power Electron.","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\UZCFWBM8\Wang et al. - 2026 - Parameter Robustness Improvement of Hybrid Flux Observer for Low-Speed Sensorless Drive of PMSM.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTF38LLW","book","2016","Plett, Gregory L.","Battery management systems","","978-1-63081-027-6","","","","","2016","2026-09-09 21:36:43","2026-09-09 21:36:43","","","","","","","","","Artech House Power engineering series","","","","Artech house","Boston","en","","","","","BnF ISBN","621.312","","","","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F86QFM92","thesis","2004","De Angelo, Cristian Hernán","Control para máquinas de CA de imanes permanentes con FEM arbitraria, sin sensores mecánicos","","","","10.35537/10915/1357","http://sedici.unlp.edu.ar/handle/10915/1357","New solutions for two permanent magnet AC machines control issues are proposed in this thesis. These issues are: ripple torque minimization and elimination of mechanical speed and/or position sensors.","2004","2026-09-09 21:36:46","2026-09-09 21:36:47","2026-09-09 21:36:46","","","","","","","","","","","","Universidad Nacional de La Plata","","es","http://creativecommons.org/licenses/by/4.0/","Doctor en Ingeniería","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\3ISD5I7K\De Angelo - 2004 - Control para máquinas de CA de imanes permanentes con FEM arbitraria, sin sensores mecánicos.pdf","","","/unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
